rank_index,time,class,failures,ranking,nfpa,DDP
0.45131404678897796,0.004,0.0,0,24,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.002,0.0,0,37,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.002,0.0,0,38,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.002,0.0,0,39,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.002,0.0,0,40,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.002,0.0,0,41,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.002,0.0,0,42,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.002,0.0,0,43,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.002,0.0,0,44,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.001,1.0,0,45,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.004,0.0,0,25,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.004,0.0,0,23,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.001,3.0,1,93,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.013999999999999999,0.0,0,11,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.049,0.0,0,2,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.033,0.0,0,3,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.033,0.0,0,4,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.026000000000000002,0.0,0,5,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.022000000000000002,0.0,0,6,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.019,0.0,0,7,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.017,0.0,0,8,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.015,0.0,0,9,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.013999999999999999,0.0,0,10,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.013000000000000001,0.0,0,12,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.004,0.0,0,22,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.012,0.0,0,13,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.008,0.0,0,14,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.008,0.0,0,15,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.006999999999999999,0.0,0,16,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.006999999999999999,0.0,0,17,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.005,0.0,0,18,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.005,0.0,0,19,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.005,0.0,0,20,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.005,0.0,0,21,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.001,1.0,0,46,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.001,1.0,0,47,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.001,1.0,0,48,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.005,2.0,1,82,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.0,1.0,0,73,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.0,1.0,0,74,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.34,2.0,1,75,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.031,2.0,1,76,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.025,2.0,1,77,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.016,2.0,1,78,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.01,2.0,1,79,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.008,2.0,1,80,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.006,2.0,1,81,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.005,2.0,1,83,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.001,1.0,0,49,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.004,2.0,1,84,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.004,2.0,1,85,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.003,2.0,1,86,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.003,2.0,1,87,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.002,2.0,1,88,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.002,2.0,1,89,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.002,2.0,1,90,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.002,2.0,1,91,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.002,2.0,1,92,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.0,1.0,0,72,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.0,1.0,0,71,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.0,1.0,0,70,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.0,1.0,0,69,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.001,1.0,0,50,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.001,1.0,0,51,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.001,1.0,0,52,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.001,1.0,0,53,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.001,1.0,0,54,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.001,1.0,0,55,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.001,1.0,0,56,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.001,1.0,0,57,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.001,1.0,0,58,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.001,1.0,0,59,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.001,1.0,0,60,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.001,1.0,0,61,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.0,1.0,0,62,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.0,1.0,0,63,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.0,1.0,0,64,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.0,1.0,0,65,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.0,1.0,0,66,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.0,1.0,0,67,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.0,1.0,0,68,0.6285109937965481,0.6162727886563166
0.45131404678897796,0.128,0.0,0,1,0.6285109937965481,0.6162727886563166
rank_index,time,class,failures,ranking,nfpa,DDP
0.45131404678897796,0.0,3.0,1,94,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.003,0.0,0,35,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.004,0.0,0,26,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.004,0.0,0,27,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.004,0.0,0,28,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.004,0.0,0,29,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.004,0.0,0,30,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.003,0.0,0,31,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.003,0.0,0,32,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.003,0.0,0,33,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.003,0.0,0,34,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.003,0.0,0,36,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.005,0.0,0,24,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.003,0.0,0,37,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.003,0.0,0,38,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.002,0.0,0,39,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.002,0.0,0,40,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.002,0.0,0,41,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.002,0.0,0,42,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.002,0.0,0,43,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.002,0.0,0,44,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.002,0.0,0,45,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.004,0.0,0,25,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.005,0.0,0,23,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.001,3.0,1,93,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.018000000000000002,0.0,0,11,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.053,0.0,0,2,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.042,0.0,0,3,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.037000000000000005,0.0,0,4,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.031,0.0,0,5,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.026000000000000002,0.0,0,6,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.024,0.0,0,7,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.022000000000000002,0.0,0,8,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.018000000000000002,0.0,0,9,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.018000000000000002,0.0,0,10,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.017,0.0,0,12,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.006,0.0,0,22,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.013999999999999999,0.0,0,13,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.013000000000000001,0.0,0,14,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.011000000000000001,0.0,0,15,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.009000000000000001,0.0,0,16,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.009000000000000001,0.0,0,17,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.009000000000000001,0.0,0,18,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.008,0.0,0,19,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.008,0.0,0,20,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.006999999999999999,0.0,0,21,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.002,0.0,0,46,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.002,0.0,0,47,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.001,1.0,0,48,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.006999999999999999,2.0,1,82,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.0,1.0,0,73,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.436,2.0,1,74,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.049,2.0,1,75,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.024,2.0,1,76,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.013000000000000001,2.0,1,77,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.009000000000000001,2.0,1,78,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.009000000000000001,2.0,1,79,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.008,2.0,1,80,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.006999999999999999,2.0,1,81,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.004,2.0,1,83,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.001,1.0,0,49,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.004,2.0,1,84,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.004,2.0,1,85,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.003,2.0,1,86,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.003,2.0,1,87,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.003,2.0,1,88,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.002,2.0,1,89,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.002,2.0,1,90,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.002,2.0,1,91,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.002,2.0,1,92,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.0,1.0,0,72,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.0,1.0,0,71,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.0,1.0,0,70,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.0,1.0,0,69,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.001,1.0,0,50,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.001,1.0,0,51,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.001,1.0,0,52,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.001,1.0,0,53,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.001,1.0,0,54,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.001,1.0,0,55,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.001,1.0,0,56,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.001,1.0,0,57,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.001,1.0,0,58,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.001,1.0,0,59,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.001,1.0,0,60,0.6285109937965481,0.6151983609610772
0.45131404678897796,0.001,1.0,0,61,0.6285109937965481,0.6151983609610772
